V1/V2 R1                       R2                        MAX error  AVG error
3.25  S(1,1,1)                 S(P(1,1,1),1)                    52         20
3.33  S(P(1,1),P(S(1,1),1))    P(1,1)                           35         20
3.33  S(P(1,1,1),1,1)          S(1)                             70         23
3.33  S(1,1)                   P(S(1,1),S(P(1,1),1))            35         20
3.33  P(S(1,1),1)              P(S(1,1),1,1,1)                  47         17
3.33  S(P(1,1),1,1,1)          S(1,P(1,1))                      47         17
3.33  S(1)                     P(S(1,1,1),1,1)                  70         23
3.40  S(1,1)                   S(P(1,1),P(1,1,1))               35         20
3.40  S(1,1,1,1)               S(P(S(1,1),1),1)                 42         18
3.40  S(P(S(P(1,1),1),1),1)    P(S(1,1),1)                      47         18
3.40  S(1,P(1,1))              P(S(P(S(1,1),1),1),1)            47         18
3.40  P(S(1,1,1,1),1)          P(1,1,1)                         56         18
3.40  S(1,1,1)                 S(P(1,1,1,1),1)                  56         18
3.40  P(S(1,1),S(1,1,1))       P(1,1)                           35         20
3.40  P(S(P(1,1),1),1)         P(1,1,1,1)                       42         18
3.50  S(P(1,1),P(1,1,1))       P(1,1,1)                         24         18
3.50  S(1,1,1)                 P(S(1,1),S(1,1,1))               24         18
3.50  P(S(1,1),S(1,1))         P(S(1,1),1,1)                    29         18
3.50  P(1,1)                   P(1,1,1,1,1)                     36         20
3.50  S(P(S(1,1),1),1)         P(S(1,1),1)                      48         20
3.50  S(1,P(1,1))              P(S(P(1,1),1),1)                 48         20
3.50  S(1,1)                   P(S(1,1,1,1),1)                  57         20
3.50  S(1)                     P(S(1,1),1,1)                    71         29
3.50  S(P(1,1),1,1)            P(S(1,1),S(1,1))                 29         18
3.50  S(1,1,1,1,1)             S(1,1)                           36         20
3.50  S(P(1,1,1,1),1)          P(1,1)                           57         20
3.50  S(P(1,1),1,1)            S(1)                             71         29
3.57  S(1,1,1)                 S(P(1,1),P(S(1,1),1))            27         18
3.57  P(S(1,1),S(P(1,1),1))    P(1,1,1)                         27         18
3.62  S(P(S(1,1,1),1),1)       P(S(1,1),1)                      48         18
3.62  S(1,P(1,1))              P(S(P(1,1,1),1),1)               48         18
3.67  P(S(1,1),1)              P(1,1,1,1)                       48         21
3.67  S(P(1,1,1),1)            P(1,1)                           55         24
3.67  S(P(S(1,1),1),1,1)       S(1)                             73         24
3.67  S(1,1,1,1)               S(1,P(1,1))                      48         21
3.67  S(1,1)                   P(S(1,1,1),1)                    55         24
3.67  S(1)                     P(S(P(1,1),1),1,1)               73         24
3.78  S(P(S(1,1),1),1)         P(S(P(1,1),1),1)                 44         18
3.80  S(P(S(1,1),P(1,1)),1)    P(1,1)                           53         21
3.80  S(1,1)                   P(S(P(1,1),S(1,1)),1)            53         21
4.00  P(S(1,1),S(1,1))         P(1,1,1)                         25         21
4.00  S(1,1,1)                 P(S(1,1),S(1,1))                 25         21
4.00  S(1,P(1,1))              P(1,1)                           50         30
4.00  S(1,P(1,1))              P(S(1,1),S(1,1),1)               50         19
4.00  S(1,1)                   P(S(1,1),1)                      50         30
4.00  S(P(1,1),P(1,1),1)       P(S(1,1),1)                      50         19
4.00  P(S(1,1,1),1)            P(1,1,1,1)                       56         19
4.00  S(1,1,1,1)               S(P(1,1,1),1)                    56         19
4.00  S(1)                     P(1,1,1)                         75         37
4.00  S(1,1,1)                 S(1)                             75         37
4.20  S(1,1)                   P(S(P(S(1,1),1),1),1)            48         22
4.20  S(P(S(P(1,1),1),1),1)    P(1,1)                           48         22
4.33  S(1,1)                   P(S(P(1,1),1),1)                 46         26
4.33  S(P(S(1,1),1),1)         P(1,1)                           46         26
4.33  P(S(1,1),1)              P(1,1,1,1,1)                     51         19
4.33  S(1,1,1,1,1)             S(1,P(1,1))                      51         19
4.33  S(P(1,1,1),1)            P(S(1,1),1,1)                    58         19
4.33  S(P(1,1),1,1)            P(S(1,1,1),1)                    58         19
4.50  S(P(1,1),P(S(1,1),1))    P(1,1,1)                         30         19
4.50  S(1,1,1)                 P(S(1,1),S(P(1,1),1))            30         19
4.50  S(1,1)                   P(S(P(1,1,1),1),1)               44         22
4.50  S(P(S(1,1,1),1),1)       P(1,1)                           44         22
4.50  S(1,P(1,1))              P(S(1,1,1),1,1)                  52         19
4.50  S(P(1,1,1),1,1)          P(S(1,1),1)                      52         19
4.50  S(1)                     P(S(1,1),1,1,1)                  78         26
4.50  S(P(1,1),1,1,1)          S(1)                             78         26
4.60  P(S(1,1),S(1,1,1))       P(1,1,1)                         26         20
4.60  S(1,1,1)                 S(P(1,1),P(1,1,1))               26         20
4.75  S(1,P(1,1))              P(S(1,1),1,1)                    53         23
4.75  S(P(1,1),1,1)            P(S(1,1),1)                      53         23
4.75  S(P(1,1,1,1),1)          P(1,1,1)                         63         20
4.75  S(1,1,1)                 P(S(1,1,1,1),1)                  63         20
5.00  P(S(1,1),S(1,1))         P(1,1,1,1)                       20         20
5.00  S(1,1,1,1)               P(S(1,1),S(1,1))                 20         20
5.00  S(1,1)                   P(1,1)                           40         40
5.00  S(1,1)                   P(S(1,1),S(1,1),1)               40         23
5.00  S(P(1,1),P(1,1),1)       P(1,1)                           40         23
5.00  S(1,P(1,1))              P(S(P(1,1),1),1,1)               53         20
5.00  S(P(S(1,1),1),1,1)       P(S(1,1),1)                      53         20
5.00  S(P(1,1,1),1)            P(1,1,1)                         60         23
5.00  S(1,1,1)                 P(S(1,1,1),1)                    60         23
5.00  S(1)                     P(1,1,1,1)                       80         32
5.00  S(1,1,1,1)               S(1)                             80         32
5.17  S(P(1,1),1,1)            P(S(P(1,1),1),1)                 48         20
5.17  S(P(S(1,1),1),1)         P(S(1,1),1,1)                    48         20
5.20  S(P(S(1,1),P(1,1)),1)    P(1,1,1)                         58         20
5.20  S(1,1,1)                 P(S(P(1,1),S(1,1)),1)            58         20
5.50  S(1,P(1,1))              P(1,1,1)                         55         27
5.50  S(1,1,1)                 P(S(1,1),1)                      55         27
5.67  S(P(1,1,1),1,1)          P(1,1)                           41         24
5.67  S(1,1)                   P(S(1,1,1),1,1)                  41         24
5.80  S(1,1,1)                 P(S(P(S(1,1),1),1),1)            52         21
5.80  S(P(S(P(1,1),1),1),1)    P(1,1,1)                         52         21
6.00  S(1,1)                   P(S(1,1),1,1)                    42         28
6.00  S(1,1,1)                 P(S(P(1,1),1),1)                 50         24
6.00  S(P(S(1,1),1),1)         P(1,1,1)                         50         24
6.00  S(1)                     P(1,1,1,1,1)                     83         28
6.00  S(P(1,1),1,1)            P(1,1)                           42         28
6.00  S(1,1,1,1,1)             S(1)                             83         28
6.25  S(1,1,1)                 P(S(P(1,1,1),1),1)               48         21
6.25  S(1,P(1,1))              P(S(1,1),1,1,1)                  56         21
6.25  S(P(S(1,1,1),1),1)       P(1,1,1)                         48         21
6.25  S(P(1,1),1,1,1)          P(S(1,1),1)                      56         21
6.33  S(P(S(1,1),1),1,1)       P(1,1)                           42         24
6.33  S(P(1,1,1),1)            P(1,1,1,1)                       63         21
6.33  S(1,1)                   P(S(P(1,1),1),1,1)               42         24
6.33  S(1,1,1,1)               P(S(1,1,1),1)                    63         21
7.00  S(1,1,1)                 P(1,1)                           43         34
7.00  S(1,1,1)                 P(S(1,1),S(1,1),1)               43         21
7.00  S(1,1)                   P(1,1,1)                         43         34
7.00  S(P(1,1),P(1,1),1)       P(1,1,1)                         43         21
7.00  S(1,P(1,1))              P(1,1,1,1)                       57         24
7.00  S(1,1,1,1)               P(S(1,1),1)                      57         24
7.25  S(P(1,1),1,1)            P(S(1,1),1,1)                    34         22
7.67  S(1,1,1,1)               P(S(P(1,1),1),1)                 52         22
7.67  S(P(S(1,1),1),1)         P(1,1,1,1)                       52         22
8.00  S(1,1,1)                 P(S(1,1,1),1,1)                  37         22
8.00  S(P(1,1,1),1,1)          P(1,1,1)                         37         22
8.00  S(P(1,1),1,1,1)          P(1,1)                           44         25
8.00  S(1,1)                   P(S(1,1),1,1,1)                  44         25
8.50  S(1,1,1)                 P(S(1,1),1,1)                    35         25
8.50  S(1,P(1,1))              P(1,1,1,1,1)                     59         22
8.50  S(P(1,1),1,1)            P(1,1,1)                         35         25
8.50  S(1,1,1,1,1)             P(S(1,1),1)                      59         22
9.00  S(1,1,1)                 P(S(P(1,1),1),1,1)               33         22
9.00  S(P(S(1,1),1),1,1)       P(1,1,1)                         33         22
9.00  S(1,1,1,1)               P(1,1)                           44         30
9.00  S(1,1)                   P(1,1,1,1)                       44         30
10.00 S(1,1,1)                 P(1,1,1)                         30         30
11.00 S(1,1,1,1)               P(S(1,1),1,1)                    36         23
11.00 S(P(1,1),1,1)            P(1,1,1,1)                       36         23
11.00 S(1,1,1,1,1)             P(1,1)                           45         26
11.00 S(1,1)                   P(1,1,1,1,1)                     45         26
11.50 S(P(1,1),1,1,1)          P(1,1,1)                         30         23
11.50 S(1,1,1)                 P(S(1,1),1,1,1)                  30         23
13.00 S(1,1,1,1)               P(1,1,1)                         31         26
13.00 S(1,1,1)                 P(1,1,1,1)                       31         26
16.00 S(1,1,1,1,1)             P(1,1,1)                         31         23
16.00 S(1,1,1)                 P(1,1,1,1,1)                     31         23
17.00 S(1,1,1,1)               P(1,1,1,1)                       24         24
