V1/V2 R1                       R2                        MAX error  AVG error
1.33  S(P(1,1,1),1)            S(1,1,1,1)                       19          6
1.33  P(1,1,1)                 S(1)                             25         12
1.33  S(1)                     S(1,1,1)                         25         12
1.36  P(1,1)                   S(P(S(1,1),P(1,1)),1)            19         10
1.36  P(S(P(1,1),S(1,1)),1)    S(1,1)                           19         10
1.36  P(S(P(1,1),1),1)         S(P(S(1,1),1),1)                 16          7
1.38  P(1,1,1,1)               P(S(1,1),1)                      18          8
1.38  S(1,P(1,1))              S(1,1,1,1)                       18          8
1.38  P(1,1)                   S(P(1,1,1),1)                    20          9
1.38  P(S(1,1,1),1)            S(1,1)                           20          9
1.38  P(S(P(1,1),1),1,1)       S(1)                             27          9
1.38  S(1)                     S(P(S(1,1),1),1,1)               27          9
1.38  P(S(P(1,1,1),1),1)       S(1,P(1,1))                      18         10
1.38  P(S(1,1),1)              S(P(S(1,1,1),1),1)               18         10
1.39  P(1,1,1)                 P(S(1,1),S(P(1,1),1))            11          7
1.39  S(P(1,1),P(S(1,1),1))    S(1,1,1)                         11          7
1.40  P(1,1,1)                 S(P(1,1),P(1,1,1))               10          7
1.40  P(S(1,1),S(1,1,1))       S(1,1,1)                         10          7
1.40  P(S(1,1),1,1)            P(S(1,1),S(1,1))                 11          7
1.40  P(S(1,1),S(1,1))         S(P(1,1),1,1)                    11          7
1.40  P(1,1,1,1,1)             P(1,1)                           14          8
1.40  S(1,1)                   S(1,1,1,1,1)                     14          8
1.40  P(S(1,1),1)              S(P(S(1,1),1),1)                 19          8
1.40  P(S(P(1,1),1),1)         S(1,P(1,1))                      19          8
1.40  P(1,1)                   S(P(1,1,1,1),1)                  23          8
1.40  P(S(1,1,1,1),1)          S(1,1)                           23          8
1.40  P(S(1,1),1,1)            S(1)                             29         11
1.40  S(1)                     S(P(1,1),1,1)                    29         11
1.42  P(1,1)                   P(S(1,1),S(1,1,1))               15          8
1.42  S(P(1,1),P(1,1,1))       S(1,1)                           15          8
1.42  P(1,1,1,1)               P(S(P(1,1),1),1)                 18          7
1.42  S(P(S(1,1),1),1)         S(1,1,1,1)                       18          7
1.42  P(S(1,1),1)              S(P(S(P(1,1),1),1),1)            20         10
1.42  P(S(P(S(1,1),1),1),1)    S(1,P(1,1))                      20         10
1.42  P(1,1,1)                 P(S(1,1,1,1),1)                  24          7
1.42  S(P(1,1,1,1),1)          S(1,1,1)                         24          7
1.43  P(1,1)                   S(P(1,1),P(S(1,1),1))            15          9
1.43  P(S(1,1),S(P(1,1),1))    S(1,1)                           15          9
1.43  P(S(1,1),1,1,1)          P(S(1,1),1)                      20          7
1.43  S(1,P(1,1))              S(P(1,1),1,1,1)                  20          7
1.43  P(S(1,1,1),1,1)          S(1)                             30         10
1.43  S(1)                     S(P(1,1,1),1,1)                  30         10
1.44  P(S(1,1),1)              S(1,P(1,1))                      21         10
1.44  P(1,1,1)                 P(S(1,1,1),1)                    23          9
1.44  S(P(1,1,1),1)            S(1,1,1)                         23          9
1.45  P(S(P(1,1),1),1)         S(P(1,1,1),1)                    23          8
1.45  P(S(1,1,1),1)            S(P(S(1,1),1),1)                 23          8
1.47  P(1,1,1)                 P(S(P(1,1),S(1,1)),1)            23         10
1.47  S(P(S(1,1),P(1,1)),1)    S(1,1,1)                         23         10
1.48  P(S(1,1),1)              S(P(S(1,1),P(1,1)),1)            23         10
1.48  P(S(P(1,1),S(1,1)),1)    S(1,P(1,1))                      23         10
1.50  P(1,1,1,1)               P(1,1)                           17         11
1.50  P(1,1)                   P(S(1,1),S(1,1))                 17         11
1.50  P(S(1,1),S(1,1))         S(1,1)                           17         11
1.50  S(1,1)                   S(1,1,1,1)                       17         11
1.50  P(1,1,1)                 P(S(1,1),1)                      22         11
1.50  S(1,P(1,1))              S(1,1,1)                         22         11
1.50  P(S(1,1,1),1)            S(1,P(1,1))                      25         10
1.50  P(S(1,1),1)              S(P(1,1,1),1)                    25         10
1.50  P(S(1,1),S(1,1),1)       S(1)                             33         11
1.50  S(1)                     S(P(1,1),P(1,1),1)               33         11
1.53  P(1,1,1)                 P(S(P(S(1,1),1),1),1)            22         11
1.53  S(P(S(P(1,1),1),1),1)    S(1,1,1)                         22         11
1.53  P(S(1,1),1,1)            P(S(1,1,1),1)                    26          9
1.53  S(P(1,1,1),1)            S(P(1,1),1,1)                    26          9
1.53  P(S(1,1),1)              S(P(1,1,1,1),1)                  28          9
1.53  P(S(1,1,1,1),1)          S(1,P(1,1))                      28          9
1.56  P(1,1,1)                 P(S(P(1,1),1),1)                 21         10
1.56  S(P(S(1,1),1),1)         S(1,1,1)                         21         10
1.56  P(S(1,1),1)              P(S(1,1),S(1,1,1))               24          9
1.56  S(P(1,1),P(1,1,1))       S(1,P(1,1))                      24          9
1.56  P(S(P(1,1),1),1,1)       P(S(1,1),1)                      24          9
1.56  S(1,P(1,1))              S(P(S(1,1),1),1,1)               24          9
1.56  P(S(1,1,1),1)            S(P(1,1,1),1)                    27          9
1.57  P(S(1,1),1,1,1)          P(1,1)                           18         10
1.57  S(1,1)                   S(P(1,1),1,1,1)                  18         10
1.57  P(S(1,1),1)              S(P(1,1),P(S(1,1),1))            24          9
1.57  P(S(1,1),S(P(1,1),1))    S(1,P(1,1))                      24          9
1.57  P(S(P(1,1,1),1),1)       S(1)                             36         12
1.57  S(1)                     S(P(S(1,1,1),1),1)               36         12
1.58  S(P(1,1),P(S(1,1),1))    S(1,1)                           18         11
1.58  P(1,1,1)                 P(S(P(1,1,1),1),1)               21          9
1.58  P(1,1)                   P(S(1,1),S(P(1,1),1))            18         11
1.58  S(P(S(1,1,1),1),1)       S(1,1,1)                         21          9
1.60  P(1,1,1,1,1)             P(1,1,1)                         12          9
1.60  S(1,1,1)                 S(1,1,1,1,1)                     12          9
1.60  P(1,1)                   S(P(1,1),P(1,1,1))               19         11
1.60  P(S(1,1),S(1,1,1))       S(1,1)                           19         11
1.60  P(S(P(1,1),1),1)         P(S(1,1),S(1,1))                 22          9
1.60  P(S(1,1),S(1,1))         S(P(S(1,1),1),1)                 22          9
1.60  P(S(1,1),1,1)            P(S(1,1),1)                      25         11
1.60  S(1,P(1,1))              S(P(1,1),1,1)                    25         11
1.60  P(S(P(1,1),1),1)         S(1)                             37         15
1.60  S(1)                     S(P(S(1,1),1),1)                 37         15
1.62  P(1,1,1,1)               P(S(1,1),1,1)                    15         10
1.62  S(P(1,1),1,1)            S(1,1,1,1)                       15         10
1.62  P(1,1)                   P(S(1,1,1,1),1)                  31         11
1.62  S(P(1,1,1,1),1)          S(1,1)                           31         11
1.62  P(S(P(S(1,1),1),1),1)    S(1)                             38         19
1.62  S(1)                     S(P(S(P(1,1),1),1),1)            38         19
1.64  P(S(1,1,1),1,1)          P(S(1,1),1)                      26         10
1.64  S(1,P(1,1))              S(P(1,1,1),1,1)                  26         10
1.67  P(1,1,1)                 P(1,1)                           20         16
1.67  P(1,1,1)                 P(S(1,1),S(1,1),1)               20         10
1.67  P(S(1,1),1,1)            P(S(P(1,1),1),1)                 24         10
1.67  S(P(S(1,1),1),1)         S(P(1,1),1,1)                    24         10
1.67  P(S(1,1),1)              P(S(1,1),S(1,1))                 27         11
1.67  S(P(1,1,1),1)            S(1,1)                           30         13
1.67  P(S(1,1),1)              S(1)                             40         20
1.67  S(1,1)                   S(1,1,1)                         20         16
1.67  S(P(1,1),P(1,1),1)       S(1,1,1)                         20         10
1.67  P(S(1,1),S(1,1))         S(1,P(1,1))                      27         11
1.67  P(1,1)                   P(S(1,1,1),1)                    30         13
1.67  S(1)                     S(1,P(1,1))                      40         20
1.70  S(P(S(1,1),P(1,1)),1)    S(1,1)                           29         12
1.70  P(1,1)                   P(S(P(1,1),S(1,1)),1)            29         12
1.71  S(1)                     S(P(S(1,1),P(1,1)),1)            42         14
1.71  P(S(P(1,1),S(1,1)),1)    S(1)                             42         14
1.75  P(1,1,1,1)               P(1,1,1)                         14         12
1.75  S(1,1)                   S(P(S(1,1),1),1,1)               21         12
1.75  P(1,1)                   P(S(1,1),1)                      29         17
1.75  P(S(1,1),S(1,1),1)       P(S(1,1),1)                      29         11
1.75  P(S(1,1),S(1,1))         S(P(1,1,1),1)                    32         11
1.75  S(1)                     S(P(1,1,1),1)                    43         17
1.75  S(1,1,1)                 S(1,1,1,1)                       14         12
1.75  P(S(P(1,1),1),1,1)       P(1,1)                           21         12
1.75  S(1,P(1,1))              S(1,1)                           29         17
1.75  S(1,P(1,1))              S(P(1,1),P(1,1),1)               29         11
1.75  P(S(1,1,1),1)            P(S(1,1),S(1,1))                 32         11
1.75  P(S(1,1,1),1)            S(1)                             43         17
1.78  P(S(1,1),1)              P(S(1,1),S(P(1,1),1))            29         11
1.78  P(1,1,1)                 P(S(1,1,1),1,1)                  19         11
1.78  S(P(1,1,1),1,1)          S(1,1,1)                         19         11
1.78  S(P(1,1),P(S(1,1),1))    S(1,P(1,1))                      29         11
1.80  P(S(1,1),1,1)            P(1,1)                           22         15
1.80  S(1,1)                   S(P(1,1),1,1)                    22         15
1.80  P(1,1)                   P(S(P(S(1,1),1),1),1)            28         13
1.80  S(P(S(P(1,1),1),1),1)    S(1,1)                           28         13
1.80  P(S(1,1,1,1),1)          S(1)                             44         15
1.80  S(1)                     S(P(1,1,1,1),1)                  44         15
1.80  P(S(1,1),1)              S(P(1,1),P(1,1,1))               30         11
1.80  P(S(1,1),S(1,1,1))       S(1,P(1,1))                      30         11
1.80  P(S(P(1,1),1),1)         P(S(1,1,1),1)                    33         11
1.80  S(P(1,1,1),1)            S(P(S(1,1),1),1)                 33         11
1.83  P(1,1)                   P(S(P(1,1),1),1)                 27         15
1.83  S(P(S(1,1),1),1)         S(1,1)                           27         15
1.83  S(P(1,1),P(1,1,1))       S(1)                             45         15
1.83  S(1)                     P(S(1,1),S(1,1,1))               45         15
1.83  P(1,1,1)                 P(S(1,1),1,1)                    18         13
1.83  S(P(1,1),1,1)            S(1,1,1)                         18         13
1.83  P(S(1,1),1)              P(S(1,1,1,1),1)                  36         11
1.83  S(P(1,1,1,1),1)          S(1,P(1,1))                      36         11
1.86  P(S(1,1),1,1,1)          P(1,1,1)                         15         12
1.86  S(1,1,1)                 S(P(1,1),1,1,1)                  15         12
1.86  P(S(1,1,1),1,1)          P(1,1)                           23         13
1.86  S(1,1)                   S(P(1,1,1),1,1)                  23         13
1.86  P(S(P(1,1,1),1),1)       P(S(1,1),1)                      31         12
1.86  S(1,P(1,1))              S(P(S(1,1,1),1),1)               31         12
1.86  P(S(1,1),S(P(1,1),1))    S(1)                             46         15
1.86  S(1)                     S(P(1,1),P(S(1,1),1))            46         15
1.88  P(1,1)                   P(S(P(1,1,1),1),1)               27         13
1.88  S(P(S(1,1,1),1),1)       S(1,1)                           27         13
1.89  P(1,1,1)                 P(S(P(1,1),1),1,1)               18         12
1.89  S(P(S(1,1),1),1,1)       S(1,1,1)                         18         12
1.89  P(S(1,1),1)              P(S(1,1,1),1)                    35         13
1.89  S(P(1,1,1),1)            S(1,P(1,1))                      35         13
1.90  P(S(P(1,1),1),1)         P(S(1,1),1)                      32         14
1.90  S(1,P(1,1))              S(P(S(1,1),1),1)                 32         14
1.93  P(S(1,1),1)              P(S(P(1,1),S(1,1)),1)            34         12
1.93  S(P(S(1,1),P(1,1)),1)    S(1,P(1,1))                      34         12
1.94  P(S(P(S(1,1),1),1),1)    P(S(1,1),1)                      32         12
1.94  S(1,P(1,1))              S(P(S(P(1,1),1),1),1)            32         12
2.00  P(1,1,1,1)               P(1,1,1,1)                       12         12
2.00  P(S(1,1),S(1,1))         P(S(1,1),S(1,1))                 12         12
2.00  S(1,1,1,1)               S(1,1,1,1)                       12         12
2.00  P(1,1,1)                 P(1,1,1)                         17         17
2.00  S(1,1,1)                 S(1,1,1)                         17         17
2.00  P(S(1,1),1,1)            P(S(1,1),1,1)                    20         12
2.00  S(P(1,1),1,1)            S(P(1,1),1,1)                    20         12
2.00  P(1,1)                   P(1,1)                           25         25
2.00  P(1,1)                   P(S(1,1),S(1,1),1)               25         14
2.00  P(S(1,1),S(1,1),1)       P(1,1)                           25         14
2.00  S(1,1)                   S(1,1)                           25         25
2.00  S(1,1)                   S(P(1,1),P(1,1),1)               25         14
2.00  S(P(1,1),P(1,1),1)       S(1,1)                           25         14
2.00  P(S(P(1,1),1),1)         P(S(P(1,1),1),1)                 30         12
2.00  S(P(S(1,1),1),1)         S(P(S(1,1),1),1)                 30         12
2.00  P(S(1,1),1)              P(S(1,1),1)                      33         17
2.00  S(1,P(1,1))              S(1,P(1,1))                      33         17
2.00  P(S(1,1,1),1)            P(S(1,1,1),1)                    37         12
2.00  S(P(1,1,1),1)            S(P(1,1,1),1)                    37         12
2.00  S(1)                     P(S(1,1),S(1,1))                 50         20
2.00  P(S(1,1),S(1,1))         S(1)                             50         20
2.07  P(S(1,1),1)              P(S(P(S(1,1),1),1),1)            34         13
2.07  S(P(S(P(1,1),1),1),1)    S(1,P(1,1))                      34         13
2.07  P(S(P(1,1),S(1,1)),1)    P(S(1,1),1)                      37         13
2.07  S(1,P(1,1))              S(P(S(1,1),P(1,1)),1)            37         13
2.11  P(S(1,1),1)              P(S(P(1,1),1),1)                 35         15
