V1/V2   netlist                                                                      MAX err  AVG err
 1.100  (vin_0,vin_1,1_0,vin_out,out_3,3_4,4_0,0_gnd)                                      7        3
 1.100  (vin_0,vin_0,vin_0,vin_out,out_2,2_0,2_0,0_gnd)                                    7        3
 1.100  (vin_0,vin_out,out_2,2_0,0_3,3_gnd)                                                7        4
 1.100  (vin_0,vin_out,out_2,2_3,3_4,4_0,0_gnd)                                            8        3
 1.100  (vin_0,vin_0,vin_0,vin_0,vin_out,out_0,0_gnd)                                      8        3
 1.103  (vin_0,vin_out,out_0,vin_2,2_0,2_0,0_3,3_gnd)                                      6        3
 1.105  (vin_1,1_0,vin_out,out_3,3_0,0_4,4_5,5_gnd)                                        8        3
 1.107  (vin_0,vin_0,vin_out,out_0,out_2,2_0,0_3,3_gnd)                                    5        3
 1.107  (vin_0,vin_0,vin_out,out_0,0_2,2_gnd,2_3,3_gnd)                                    6        3
 1.111  (vin_out,vin_out,vin_out,out_1,1_2,2_gnd)                                          3        3
 1.111  (vin_out,vin_out,out_1,1_2,2_3,3_4,4_gnd,4_gnd)                                    4        2
 1.111  (vin_out,vin_out,out_0,out_0,0_2,2_3,3_4,4_gnd)                                    4        2
 1.111  (vin_out,vin_out,vin_out,vin_out,vin_1,1_out,out_2,2_gnd)                          4        2
 1.111  (vin_0,vin_out,vin_out,out_0,out_0,0_2,2_gnd)                                      4        3
 1.111  (vin_0,vin_out,out_0,vin_2,2_0,0_3,3_gnd)                                          6        3
 1.111  (vin_0,vin_1,1_0,vin_out,out_0,0_3,3_gnd)                                          6        3
 1.111  (vin_0,vin_out,out_0,0_2,2_3,3_gnd,3_4,4_gnd)                                      7        3
 1.111  (vin_out,out_0,vin_2,2_0,0_3,3_4,4_5,5_gnd)                                        7        3
 1.111  (vin_1,1_0,vin_out,out_0,0_3,3_4,4_5,5_gnd)                                        7        3
 1.111  (vin_1,vin_out,out_1,1_0,1_3,3_0,0_4,4_gnd)                                        7        3
 1.111  (vin_0,vin_out,out_2,2_0,2_3,3_0,0_4,4_gnd)                                        7        3
 1.111  (vin_0,vin_0,vin_out,out_2,2_0,0_gnd)                                              7        4
 1.111  (vin_1,1_0,vin_out,out_3,3_4,4_0,0_5,5_gnd)                                        8        3
 1.111  (vin_0,vin_out,out_2,2_3,3_4,4_0,4_0,0_gnd)                                        8        3
 1.111  (vin_0,vin_0,vin_0,vin_out,vin_out,out_0,out_0,0_gnd)                              8        3
 1.111  (vin_0,vin_0,vin_0,vin_out,out_0,vin_2,2_0,0_gnd)                                  8        3
 1.111  (vin_0,vin_0,vin_0,vin_1,1_0,vin_out,out_0,0_gnd)                                  8        3
 1.115  (vin_0,vin_out,out_0,out_2,2_0,0_3,3_4,4_gnd)                                      6        3
 1.115  (vin_0,vin_out,out_2,2_0,0_3,3_gnd,3_4,4_gnd)                                      8        3
 1.118  (vin_0,vin_0,vin_out,out_0,out_0,0_2,2_gnd)                                        5        3
 1.118  (vin_0,vin_0,vin_out,out_0,0_2,2_gnd,2_gnd)                                        6        4
 1.118  (vin_0,vin_out,out_0,0_2,2_3,3_gnd,3_gnd)                                          7        3
 1.118  (vin_0,vin_1,1_out,out_0,0_3,3_4,4_5,5_gnd)                                        7        3
 1.118  (vin_0,vin_1,1_out,out_3,3_0,0_4,4_5,5_gnd)                                        7        3
 1.118  (vin_0,vin_out,out_2,2_0,2_0,0_3,3_gnd)                                            8        4
 1.120  (vin_0,vin_out,out_0,vin_2,2_3,3_0,0_4,4_gnd)                                      7        3
 1.125  (vin_out,vin_out,vin_out,out_1,1_2,2_gnd,2_3,3_gnd)                                4        2
 1.125  (vin_out,vin_out,vin_1,1_out,1_out,out_2,2_3,3_gnd)                                4        2
 1.125  (vin_out,vin_out,out_1,1_2,2_3,3_gnd)                                              5        3
 1.125  (vin_out,vin_out,vin_out,vin_out,out_1,1_gnd)                                      5        3
 1.125  (vin_0,vin_out,vin_out,out_0,out_0,out_0,0_2,2_gnd)                                5        3
 1.125  (vin_0,vin_out,out_0,out_0,0_2,2_3,3_gnd)                                          6        3
 1.125  (vin_0,vin_out,out_0,0_2,2_3,3_gnd,3_gnd,3_gnd)                                    7        3
 1.125  (vin_1,vin_out,out_1,1_0,1_0,1_0,0_3,3_gnd)                                        7        3
 1.125  (vin_out,out_0,vin_2,2_0,2_0,0_3,3_4,4_gnd)                                        8        3
 1.125  (vin_0,vin_out,out_2,2_0,2_0,2_0,0_3,3_gnd)                                        8        3
 1.125  (vin_0,vin_1,1_0,1_0,vin_out,out_3,3_0,0_gnd)                                      8        3
 1.125  (vin_0,vin_0,vin_out,out_2,2_0,2_3,3_0,0_gnd)                                      8        3
 1.125  (vin_0,vin_1,vin_out,out_1,1_0,1_0,1_0,0_gnd)                                      8        4
 1.125  (vin_1,1_0,1_0,vin_out,out_3,3_0,0_4,4_gnd)                                        9        3
 1.125  (vin_0,vin_0,vin_out,vin_out,out_0,out_2,2_0,0_gnd)                                9        3
 1.125  (vin_0,vin_out,out_2,2_0,0_3,3_gnd,3_gnd)                                          9        4
 1.125  (vin_0,vin_out,out_2,2_3,3_0,0_gnd)                                                9        5
 1.125  (vin_0,vin_0,vin_0,vin_out,out_0,0_gnd)                                            9        5
 1.130  (vin_0,vin_0,vin_out,out_0,out_0,out_0,0_2,2_gnd)                                  5        3
 1.130  (vin_0,vin_0,vin_out,out_0,0_2,2_gnd,2_gnd,2_gnd)                                  7        3
 1.133  (vin_out,vin_out,vin_out,out_1,1_2,2_gnd,2_gnd)                                    4        3
 1.133  (vin_out,vin_out,vin_1,1_out,out_2,2_3,3_gnd)                                      4        3
 1.133  (vin_0,vin_0,vin_1,1_out,out_0,0_3,3_gnd)                                          5        4
 1.133  (vin_out,vin_1,1_out,out_2,2_3,3_4,4_5,5_gnd)                                      7        2
 1.133  (vin_out,vin_out,vin_out,vin_out,vin_out,out_1,1_gnd,1_gnd)                        7        2
 1.133  (vin_0,vin_1,1_out,out_3,3_4,4_0,0_5,5_gnd)                                        7        4
 1.133  (vin_0,vin_1,1_0,vin_out,out_3,3_0,0_gnd)                                          9        4
 1.133  (vin_0,vin_0,vin_out,out_2,2_0,2_0,0_gnd)                                          9        4
 1.133  (vin_1,1_0,vin_out,out_3,3_4,4_5,5_0,0_gnd)                                       10        3
 1.133  (vin_0,vin_0,vin_0,vin_0,vin_out,out_0,out_0,0_gnd)                               10        3
 1.133  (vin_0,vin_0,vin_out,out_2,2_3,3_0,0_gnd,0_gnd)                                   10        4
 1.133  (vin_0,vin_0,vin_0,vin_1,1_out,out_3,3_0,0_gnd)                                   10        4
 1.136  (vin_out,vin_out,out_1,1_2,2_3,3_gnd,3_4,4_gnd)                                    5        2
 1.136  (vin_out,vin_out,out_0,out_2,2_0,0_3,3_4,4_gnd)                                    5        2
 1.136  (vin_out,vin_out,vin_out,vin_1,1_out,1_out,out_2,2_gnd)                            5        2
 1.136  (vin_0,vin_out,out_0,out_0,out_0,0_2,2_3,3_gnd)                                    7        3
 1.136  (vin_0,vin_out,out_2,2_0,0_3,3_gnd,3_gnd,3_gnd)                                    9        4
 1.136  (vin_0,vin_out,out_2,2_3,3_0,3_4,4_0,0_gnd)                                       10        4
 1.136  (vin_0,vin_0,vin_out,out_0,vin_2,2_0,2_0,0_gnd)                                   10        4
 1.143  (vin_out,vin_out,vin_out,out_1,1_2,2_gnd,2_gnd,2_gnd)                              5        3
 1.143  (vin_out,vin_out,vin_1,1_2,2_out,out_3,3_4,4_gnd)                                  5        3
 1.143  (vin_out,vin_out,vin_out,out_0,out_0,out_0,0_2,2_gnd)                              5        3
 1.143  (vin_1,1_0,vin_out,vin_out,out_0,out_0,0_3,3_gnd)                                  5        3
 1.143  (vin_out,vin_out,out_1,1_2,2_3,3_gnd,3_gnd)                                        6        3
 1.143  (vin_out,vin_out,out_0,out_0,0_2,2_3,3_gnd)                                        6        3
 1.143  (vin_out,vin_out,vin_out,vin_1,1_out,out_2,2_gnd)                                  6        3
 1.143  (vin_0,vin_out,vin_out,out_0,out_0,0_2,2_gnd,2_gnd)                                7        3
 1.143  (vin_0,vin_1,1_0,vin_out,out_0,out_0,0_3,3_gnd)                                    7        3
 1.143  (vin_0,vin_out,out_0,0_2,2_3,3_gnd,2_4,4_gnd)                                      8        4
 1.143  (vin_0,vin_out,out_0,0_2,2_3,2_3,3_gnd,3_gnd)                                      8        4
 1.143  (vin_0,vin_out,out_0,vin_2,2_0,0_3,3_gnd,3_gnd)                                    8        4
 1.143  (vin_0,vin_1,1_0,vin_out,out_0,0_3,3_gnd,3_gnd)                                    8        4
 1.143  (vin_out,out_0,vin_2,vin_2,2_0,2_0,0_3,3_gnd)                                      8        4
 1.143  (vin_out,out_0,vin_2,2_0,vin_3,3_0,0_4,4_gnd)                                      8        4
 1.143  (vin_1,1_0,vin_out,out_0,vin_3,3_0,0_4,4_gnd)                                      8        4
 1.143  (vin_1,1_0,vin_2,2_0,vin_out,out_0,0_4,4_gnd)                                      8        4
 1.143  (vin_0,vin_out,out_2,2_0,out_3,3_0,0_4,4_gnd)                                      8        4
 1.143  (vin_0,vin_out,out_2,out_2,2_0,2_0,0_3,3_gnd)                                      8        4
 1.143  (vin_1,vin_out,out_1,1_3,3_0,1_4,4_0,0_gnd)                                        8        4
 1.143  (vin_0,vin_out,vin_out,out_2,2_0,out_3,3_0,0_gnd)                                  8        4
 1.143  (vin_0,vin_out,vin_out,out_2,out_2,2_0,2_0,0_gnd)                                  8        4
 1.143  (vin_0,vin_out,out_0,0_2,2_gnd)                                                    8        6
